一	y ī
别出新裁	b ié ch ū x īn c ái
别出机杼	b ié ch ū j ī zh ù
别创一格	b ié ch uàng y í g é
别动队	b ié d òng d uì
别史	b ié sh ǐ
别号	b ié h ào
别名	b ié m íng
别嘴	b iè z uǐ
别国	b ié g uó
别墅	b ié sh ù
别处	b ié ch ù
别字	b ié z ì
别家	b ié j iā
别居异财	b ié j ū y ì c ái
别开一格	b ié k āi y í g é
别开生面	b ié k āi sh ēng m iàn
别开蹊径	b ié k āi x ī j ìng
别忙	b ié m áng
别情	b ié q íng
别扭	b iè n iǔ
别抱琵琶	b ié b ào p í p á
别提	b ié t í
别无二致	b ié w ú èr zh ì
别无他物	b ié w ú t ā w ù
别无出路	b ié w ú ch ū l ù
别无分店	b ié w ú f ēn d iàn
别无长物	b ié w ú ch áng w ù
别是	b ié sh ì
别有人间	b ié y ǒu r én j iān
别有天地	b ié y ǒu t iān d ì
别有心肝	b ié y ǒu x īn g ān
别有心肠	b ié y ǒu x īn ch áng
别有洞天	b ié y ǒu d òng t iān
别有滋味	b ié y ǒu z ī w èi
别有用心	b ié y ǒu y òng x īn
别有肺肠	b ié y ǒu f èi ch áng
别有风味	b ié y ǒu f ēng w èi
别有风趣	b ié y ǒu f ēng q ù
别本	b ié b ěn
别来无恙	b ié l ái w ú y àng
别树一帜	b ié sh ù y ī zh ì
别树一旗	b ié sh ù y ī q í
别样	b ié y àng
别生枝节	b ié sh ēng zh ī j ié
别离	b ié l í
别称	b ié ch ēng
别管	b ié g uǎn
别籍异居	b ié j í y ì j ū
别籍异财	b ié j í y ì c ái
别类分门	b ié l èi f ēn m én
别绪	b ié x ù
别置一喙	b ié zh ì y ī h uì
别致	b ié zh ì
别论	b ié l ùn
别说	b ié sh uō
别财异居	b ié c ái y ì j ū
别趣	b ié q ù
别针	b ié zh ēn
别集	b ié j í
别风淮雨	b ié f ēng h uái y ǔ
别饶风致	b ié r áo f ēng zh ì
别馆	b ié g uǎn
别鹤孤鸾	b ié h è g ū l uán
别鹤离鸾	b ié h è l í l uán
刬	ch ǎn
刬恶锄奸	ch ǎn è ch ú j iān
刬旧谋新	ch ǎn j iù m óu x īn
刬草除根	ch ǎn c ǎo ch ú g ēn
刭	j ǐng
刮	g uā
刮削	g uā x iāo
刮地皮	g uā d ì p í
刮垢磨光	g uā g òu m ó g uāng
刮垢磨痕	g uā g òu m ó h én
刮目相待	g uā m ù x iāng d ài
刮目相看	g uā m ù x iāng k àn
刮目相见	g uā m ù x iāng j iàn
刮肠洗胃	g uā ch áng x ǐ w èi
刮野扫地	g uā y ě s ǎo d ì
刮风	g uā f ēng
刮骨去毒	g uā g ǔ q ù d ú
刮骨抽筋	g uā g ǔ ch ōu j īn
刯	g ēng
到	d ào
到了	d ào l e
到任	d ào r èn
到会	d ào h uì
到场	d ào ch ǎng
到处	d ào ch ù
到头	d ào t óu
到头来	d ào t óu l ái
到家	d ào j iā
到底	d ào d ǐ
到期	d ào q ī
到此为止	d ào c ǐ w éi zh ǐ
到目前为止	d ào m ù q ián w éi zh ǐ
到站	d ào zh àn
刱	ch uàng
刲	k uī
刳	k ū
刳精呕血	k ū j īng ǒu x uè
刳脂剔膏	k ū zh ī t ī g āo
刴	d uò
刵	èr
制	zh ì
制度	zh ì d ù
制服	zh ì f ú
制服呢	zh ì f ú n e
制热	zh ì r è
制种	zh ì zh ǒng
制空权	zh ì k ōng q uán
制糖厂	zh ì t áng ch ǎng
制约	zh ì y uē
制药厂	zh ì y ào ch ǎng
制造厂	zh ì z ào ch ǎng
制革厂	zh ì g é ch ǎng
刷	sh uā
刷刷	sh uā sh uā
刷子	sh uā z i
刷拉	sh uā l ā
刷新	sh uā x īn
刷毛	sh uā m áo
刷洗	sh uā x ǐ
刷白	sh uà b ái
券	q uàn
刹	sh ā
刹不住	sh ā b ù zh ù
刹住	sh ā zh ù
刹刹	sh ā sh ā
刹把	sh ā b ǎ
刹时	ch à sh í
刹车	sh ā ch ē
刹那	ch à n à
刺	c ì
刺上化下	c ì sh àng h uà x ià
刺伤	c ì sh āng
刺儿	c ì ér
刺儿头	c ì ér t óu
刺刀	c ì d āo
刺刺不休	c ì c ì b ù x iū
刺参	c ì c ān
刺史	c ì sh ǐ
刺啦	c ī l ā
刺头	c ì t óu
刺字	c ì z ì
刺客	c ì k è
刺心切骨	c ì x īn q iè g ǔ
刺心刻骨	c ì x īn k è g ǔ
刺心裂肝	c ì x īn l iè g ān
刺探	c ì t àn
刺杀	c ì sh ā
刺柏	c ì b ǎi
刺桐	c ì t óng
刺梅	c ì m éi
刺槐	c ì h uái
刺溜	c ī l iū
刺激	c ì j ī
刺激性	c ì j ī x ìng
刺激素	c ì j ī s ù
刺猬	c ì w èi
刺痒	c ì y áng
刺痛	c ì t òng
刺的一声	c ī d e y ī sh ēng
刺目	c ì m ù
刺眼	c ì y ǎn
刺破	c ì p ò
刺绣	c ì x iù
刺网	c ì w ǎng
刺耳	c ì ěr
刺股悬梁	c ì g ǔ x uán l iáng
刺股读书	c ì g ǔ d ú sh ū
刺虎持鹬	c ì h ǔ ch í y ù
刺配	c ì p èi
刺针	c ì zh ēn
刺骨	c ì g ǔ
刺鼻	c ì b í
刻	k è
刻不容松	k è b ù r óng s ōng
刻不容缓	k è b ù r óng h uǎn
刻不待时	k è b ù d ài sh í
刻划	k è h uá
刻制	k è zh ì
刻度	k è d ù
刻木为吏	k è m ù w éi l ì
刻木为鹄	k è m ù w éi h ú
刻毒	k è d ú
刻章琢句	k è zh āng zh uó j ù
刻翠裁红	k è c uì c ái h óng
刻肌刻骨	k è j ī k è g ǔ
刻花	k è h uā
刻薄	k è b ó
刻薄寡思	k è b ó g uǎ s ī
刻雾裁风	k è w ù c ái f ēng
刻骨	k è g ǔ
刻骨仇恨	k è g ǔ ch óu h èn
刻骨崩心	k è g ǔ b ēng x īn
刻骨相思	k è g ǔ x iāng s ī
刻骨铭心	k è g ǔ m íng x īn
刻骨镂心	k è g ǔ l òu x īn
刼	j ié
刽	g uì
刽子手	g uì z i sh ǒu
刾	c ì
刿	g uì
剀	k ǎi
剀切	k ǎi q iè
剀切中理	k ǎi q iè zh òng l ǐ
剀切教导	k ǎi q iè j iào d ǎo
剀切详明	k ǎi q iè x iáng m íng
剁	d uò
剂	j ì
剂量	j ì l iàng
剃	t ì
剃光头	t ì g uāng t óu
剃发	t ì f à
剃头	t ì t óu
剃头刀	t ì t óu d āo
剃度	t ì d ù
剄	j ǐng
剅	l óu
剆	l uǒ
則	z é
剈	y uān
剉	c uò
削	x uē
削价	x uē j ià
削减	x uē j iǎn
削削	x uē x uē
削发	x uē f à
削发披缁	x uē f à p ī z ī
削地	x uē d ì
削壁	x uē b ì
削尖脑袋	x uē j iān n ǎo d ài
削平	x uē p íng
削弱	x uē r uò
削木为吏	x uē m ù w éi l ì
削株掘根	x uē zh ū j ué g ēn
削球	x iāo q iú
削瘦	x uē sh òu
削皮	x iāo p í
削职	x uē zh í
削职为民	x uē zh í w éi m ín
削肩	x uē j iān
削草除根	x uē c ǎo ch ú g ēn
削足适履	x uē z ú sh ì l ǚ
削趾适屦	x uē zh ǐ sh ì j ù
削铁如泥	x uē t iě r ú n í
削铁无声	x uē t iě w ú sh ēng
削铅笔	x iāo q iān b ǐ
削除	x uē ch ú
削面	x iāo m iàn
剋	k è
剌	l á
前	q ián
前不久	q ián b ù j iǔ
前仆后继	q ián p ū h òu j ì
前仆后踣	q ián p ú h òu b ó
前仇	q ián ch óu
前仰后合	q ián y ǎng h òu h é
前任	q ián r èn
前俯后仰	q ián f ǔ h òu y ǎng
前功尽废	q ián g ōng j ìn f èi
前功尽弃	q ián g ōng j ìn q ì
前功尽灭	q ián g ōng j ìn m iè
前古未有	q ián g ǔ w èi y ǒu
前台	q ián t ái
前合后仰	q ián h é h òu y ǎng
前后脚儿	q ián h òu j iǎo er
前场	q ián ch ǎng
前夫	q ián f ū
前头	q ián t ou
前奏曲	q ián z òu q ǔ
前妻	q ián q ī
前度刘郎	q ián d ù l iú l áng
前徒倒戈	q ián t ú d ǎo g ē
前思后想	q ián s ī h òu x iǎng
前所未有	q ián s uǒ w èi y ǒu
前排	q ián p ái
前提	q ián t í
前景	q ián j ǐng
前朝	q ián ch áo
前期	q ián q ī
前滚翻	q ián g ǔn f ān
前爪	q ián zh ǎo
前程万里	q ián ch éng w àn l ǐ
前臂	q ián b ì
前行	q ián x íng
前街后巷	q ián j iē h òu x iàng
前言不搭后语	q ián y án b ù d ā h òu y ǔ
前言往行	q ián y án w ǎng x íng
前跋后疐	q ián b á h òu zh ì
前车	q ián ch ē
前车之鉴	q ián ch ē zh ī j iàn
前车可鉴	q ián ch ē k ě j iàn
前辙可鉴	q ián zh é k ě j iàn
剎	sh ā
剏	ch uàng
剐	g uǎ
剑	j iàn
剑头一吷	j iàn t óu y ī x uè
剑术	j iàn sh ù
剑舞	j iàn w ǔ
剑锋	j iàn f ēng
剑首一吷	j iàn sh ǒu y ī x uè
剒	c uò
剓	l í
剔	t ī
剔抽禿刷	t ī ch ōu t ū sh uā
剔抽秃揣	t ī ch ōu t ū ch uǎi
剔红	t ī h óng
剔蝎撩蜂	t ī x iē l iáo f ēng
剕	f èi
剖	p ōu
剖心泣血	p ōu x īn q ì x uè
剖肝泣血	p ōu g ān q ì x uè
剖腹藏珠	p ōu f ù c áng zh ū
剖蚌得珠	p ōu b àng d é zh ū
剖蚌求珠	p ōu b àng q iú zh ū
剖解	p ōu j iě
剗	ch ǎn
剗恶锄奸	ch ǎn è ch ú j iān
剗旧谋新	ch ǎn j iù m óu x īn
剗草除根	ch ǎn c ǎo ch ú g ēn
剘	q í
剙	ch uàng
剚	z ì
剛	g āng
剜	w ān
剝	b ō
剞	j ī
剟	d uō
剠	q íng
剡	sh àn
剢	d ū
剣	j iàn
剤	j ì
剥	b ō
剥削	b ō x uē
剥削者	b ō x uē zh ě
剥削阶级	b ō x uē j iē j í
剥剥	b āo b āo
剥取	b āo q ǔ
剥壳	b āo k é
剥夺	b ō d uó
剥床及肤	b ō ch uáng j í f ū
剥极则复	b ō j í z é f ù
剥极将复	b ō j í j iāng f ù
剥极必复	b ō j í b ì f ù
剥皮	b āo p í
剥皮抽筋	b ō p í ch ōu j īn
剥离	b ō l í
剥肤之痛	b ō f ū zh ī t òng
剥肤及髓	b ō f ū j í s uǐ
剥肤椎髓	b ō f ū ch uí s uǐ
剥脱	b āo t uō
剥花生	b āo h uā sh ēng
剥苹果	b āo p íng g uǒ
剥茧抽丝	b ō j iǎn ch ōu s ī
剥落	b ō l uò
剥蚀	b ō sh í
剥除	b āo ch ú
剦	y ān
剧	j ù
剧中人	j ù zh ōng r én
剧作家	j ù z uò j iā
剧场	j ù ch ǎng
剧曲	j ù q ǔ
剧毒	j ù d ú
剧种	j ù zh ǒng
剨	h uō
剩	sh èng
剩余价值	sh èng y ú j ià zh í
剩馥残膏	sh èng f ù c án g āo
剪	j iǎn
剪发	j iǎn f à
剪发披缁	j iǎn f ā p ī z ī
剪发杜门	j iǎn f à d ù m én
剪发被褐	j iǎn f ā b èi h è
剪恶除奸	j iǎn è ch ú j iān
剪枝	j iǎn zh ī
剫	d uó
剬	d uān
剭	w ū
剮	g uǎ
副	f ù
副产品	f ù ch ǎn p ǐn
副产物	f ù ch ǎn w ù
副作用	f ù z uò y òng
副刊	f ù k ān
副品	f ù p ǐn
副官	f ù g uān
副总	f ù z ǒng
副手	f ù sh ǒu
副教授	f ù j iào sh òu
副本	f ù b ěn
副标题	f ù b iāo t í
副歌	f ù g ē
副油箱	f ù y óu x iāng
副研究员	f ù y án j iū y uán
副科	f ù k ē
副署	f ù sh ǔ
副职	f ù zh í
副肾	f ù sh èn
副行长	f ù h áng zh ǎng
副词	f ù c í
副食	f ù sh í
副食品	f ù sh í p ǐn
副高	f ù g āo
剰	sh èng
剱	j iàn
割	g ē
割切	g ē q iē
割地	g ē d ì
割地求和	g ē d ì q iú h é
割地称臣	g ē d ì ch ēng ch én
割尾巴	g ē w ěi b ā
割席分坐	g ē x í f ēn z uò
割据	g ē j ù
割据一方	g ē j ù y ī f āng
割肚牵肠	g ē d ù q iān ch áng
割股疗亲	g ē g ǔ l iáo q īn
割臂之盟	g ē b ì zh ī m éng
割臂盟公	g ē b ì m éng g ōng
割裂	g ē l iè
割骨疗亲	g ē g ǔ l iáo q īn
剳	d á
剴	k ǎi
創	ch uàng
剶	ch uān
剷	ch ǎn
剸	t uán
剸繁决剧	t uán f án j ué j ù
剸繁治剧	t uán f án zh ì j ù
剹	l ù
剺	l í
剻	p ěng
剼	sh ān
剽	p iāo
剾	k ōu
剿	j iǎo
剿匪	j iǎo f ěi
剿杀	j iǎo sh ā
剿灭	j iǎo m iè
剿袭	ch āo x í
剿说	ch āo sh uō
剿除	j iǎo ch ú
劀	g uā
劁	q iāo
劂	j ué
劃	h uà
劄	zh ā
劅	zh uó
劆	l ián
劇	j ù
劈	p ī
劈刀	p ī d āo
劈刺	p ī c ì
劈劈啪啪	p ī p ī p ā p ā
劈叉	p ǐ ch à
劈啪	p ī p ā
劈天盖地	p ī t iān g ài d ì
劈头	p ī t óu
劈头劈脑	p ī t óu p ī n ǎo
劈头盖脑	p ī t óu g ài n ǎo
劈头盖脸	p ī t óu g ài l iǎn
劈山	p ī sh ān
劈成	p ǐ ch éng
劈手	p ī sh ǒu
劈木头	p ī m ù t ou
劈杀	p ī sh ā
劈柴	p ǐ ch ái
劈波斩浪	p ī b ō zh ǎn l àng
劈胸	p ī x iōng
劈脸	p ī l iǎn
劈荆斩棘	p ī j īng zh ǎn j í
劈裂	p ī l iè
劈里啪啦	p ī l ǐ p ā l a
劈面	p ī m iàn
劈风斩浪	p ī f ēng zh ǎn l àng
劉	l iú
劊	g uì
劋	j iǎo
劌	g uì
劍	j iàn
劎	j iàn
劏	t āng
劐	h uō
劑	j ì
劒	j iàn
劓	y ì
劔	j iàn
劕	zh ì
劖	ch án
劗	j iǎn
劘	m ó
劙	l í
劚	zh ú
劚玉如泥	zh ú y ù r ú n í
力	l ì
力不从心	l ì b ù c óng x īn
力不胜任	l ì b ù sh èng r èn
力不能及	l ì b ù n éng j í
力不能支	l ì b ù n éng zh ī
力不自胜	l ì b ù z ì sh èng
力争上游	l ì zh ēng sh àng y óu
力可拔山	l ì k ě b á sh ān
力场	l ì ch ǎng
力大无比	l ì d à w ú b ǐ
力学不倦	l ì x ué b ù j uàn
力学笃行	l ì x ué d ǔ x íng
力小任重	l ì x iǎo r èn zh òng
力尽	l ì j ìn
力尽筋疲	l ì j ìn j īn p í
力度	l ì d ù
力所不及	l ì s uǒ b ù j í
力所能及	l ì s uǒ n éng j í
力拼	l ì p īn
力排众议	l ì p ái zh òng y ì
力有未逮	l ì y ǒu w èi d ài
力点	l ì d iǎn
力能扛鼎	l ì n éng g āng d ǐng
力臂	l ì b ì
力行	l ì x íng
力透纸背	l ì t òu zh ǐ b èi
力避	l ì b ì
力量	l ì l iàng
劜	y à
劝	q uàn
劝业场	q uàn y è ch ǎng
劝化	q uàn h uà
劝和	q uàn h é
劝善惩恶	q uàn sh àn ch éng è
劝善戒恶	q uàn sh àn j iè è
劝善黜恶	q uàn sh àn ch ù è
劝解	q uàn j iě
劝让	q uàn r àng
劝说	q uàn sh uō
劝降	q uàn x iáng
办	b àn
办不到	b àn b ú d ào
办事员	b àn sh ì y uán
办事处	b àn sh ì ch ù
办公会议	b àn g ōng h uì y ì
办好	b àn h ǎo
办差	b àn ch āi
办得到	b àn d é d ào
功	g ōng
功亏一篑	g ōng k uī y ī k uì
功令	g ōng l ìng
功劳簿	g ōng l áo b ù
功夫	g ōng f u
功夫片	g ōng f ū p iàn
功夫茶	g ōng f ū ch á
功底	g ōng d ǐ
功德无量	g ōng d é w ú l iàng
功成不居	g ōng ch éng b ù j ū
功成行满	g ōng ch éng x íng m ǎn
功成骨枯	g ōng ch éng g ǔ k ū
功率	g ōng l ǜ
功率放大器	g ōng l ǜ f àng d à q ì
功盖天下	g ōng g ài t iān x ià
功能	g ōng n éng
功若丘山	g ōng r uò q iū sh ān
功薄蝉翼	g ōng b ó ch án y ì
功过	g ōng g uò
功高不赏	g ōng g āo b ù sh ǎng
功高望重	g ōng g āo w àng zh òng
功高盖世	g ōng g āo g ài sh ì
加	j iā
加价	j iā j ià
加农炮	j iā n óng p ào
加减乘除	j iā j iǎn ch éng ch ú
加刑	j iā x íng
加劲	j iā j ìn
加勒比海	j iā l è b ǐ h ǎi
加压	j iā y ā
加号	j iā h ào
加塞儿	j iā s āi ér
加尔各答	j iā ěr g è d á
加强	j iā q iáng
加数	j iā sh ù
加枝添叶	j iā zh ī t iān y è
加洗	j iā x ǐ
加班加点	j iā b ān j iā d iǎn
加盖	j iā g ài
加车	j iā ch ē
加速度	j iā s ù d ù
加重	j iā zh òng
务	w ù
务使	w ù sh ǐ
务期	w ù q ī
务正	w ù zh èng
务要	w ù y ào
劢	m ài
劣	l iè
劣种	l iè zh ǒng
劣迹昭着	l iè j ì zh āo zh e
劣迹昭著	l iè j ì zh āo zh ù
劤	j ìn
劥	k ēng
劦	x ié
劧	zh ǐ
动	d òng
动不动	d òng b ù d òng
动不失时	d òng b ù sh ī sh í
动中窾要	d òng zh ōng k uǎn y ào
动员	d òng y uán
动员令	d òng y uán l ìng
动地惊天	d òng d ì j īng t iān
动如参商	d òng r ú sh ēn sh āng
动弹	d òng t án
动手术	d òng sh ǒu sh ù
动物纤维	d òng w ù x iān w éi
动画影片	d òng h uà y ǐng p iān
动画片	d òng h uà p iàn
动真格的	d òng zh ēn g é d e
动窝	d òng w ō
动能	d òng n éng
动脉	d òng m ài
动脉弓	d òng m ài g ōng
动脉硬化	d òng m ài y ìng h uà
动脉粥样硬化	d òng m ài zh ōu y àng y ìng h uà
动荡不安	d òng d àng b ù ān
动荡不定	d òng d àng b ù d ìng
动觉	d òng j ué
动辄得咎	d òng zh é d é j iù
动量	d òng l iàng
动静有常	d òng j ìng y ǒu ch áng
助	zh ù
助产	zh ù ch ǎn
助产士	zh ù ch ǎn sh ì
助人下石	zh ù r én x ià sh í
助人为乐	zh ù r én w éi l è
助兴	zh ù x ìng
助力	zh ù l ì
助动词	zh ù d òng c í
助听器	zh ù t īng q ì
助天为虐	zh ù t iān w éi n üè
助威	zh ù w ēi
助学	zh ù x ué
助学金	zh ù x ué j īn
助工	zh ù g ōng
助我张目	zh ù w ǒ zh āng m ù
助战	zh ù zh àn
助手	zh ù sh ǒu
助推	zh ù t uī
助推器	zh ù t uī q ì
助攻	zh ù g ōng
助教	zh ù j iào
助桀为恶	zh ù j ié w éi è
助桀为暴	zh ù j ié w éi b ào
助桀为虐	zh ù j ié w éi n üè
助燃	zh ù r án
助理	zh ù l ǐ
助理工程师	zh ù l ǐ g ōng ch éng sh ī
助理研究员	zh ù l ǐ y án j iū y uán
助画方略	zh ù h uà f āng l üè
助益	zh ù y ì
助研	zh ù y án
助纣为虐	zh ù zh òu w éi n üè
助耕	zh ù g ēng
助词	zh ù c í
助跑	zh ù p ǎo
助边输财	zh ù b iān sh ū c ái
助长	zh ù zh ǎng
助阵	zh ù zh èn
努	n ǔ
努劲儿	n ǔ j ìn er
努尔哈赤	n ǔ ěr h ā ch ì
努瓦克肖特	n ǔ w ǎ k è x iāo t è
劫	j ié
劫富济贫	j ié f ù j ì p ín
劫数	j ié sh ù
劫数难逃	j ié sh ù n án t áo
劫案	j ié àn
劫难	j ié n àn
劬	q ú
劭	sh ào
劮	y ì
劯	zh ū
劰	m ò
励	l ì
励精更始	l ì j īng g ēng sh ǐ
励行	l ì x íng
劲	j ìn
劲健	j ìn j iàn
劲儿	j ìn er
劲兵	j ìng b īng
劲力	j ìn l ì
劲升	j ìn sh ēng
劲吹	j ìng ch uī
劲头	j ìn t óu
劲射	j ìng sh è
劲敌	j ìng d í
劲旅	j ìng l ǚ
劲松	j ìng s ōng
劲歌	j ìn g ē
劲直	j ìng zh í
劲草	j ìng c ǎo
劲道	j ìn d ào
劲风	j ìng f ēng
劲骨丰肌	j ìng g ǔ f ēng j ī
劳	l áo
劳什子	l áo sh í z i
劳务费	l áo w ù f èi
劳务输出	l áo w ù sh ū ch ū
劳动布	l áo d òng b ù
劳动强度	l áo d òng q iáng d ù
劳动教养	l áo d òng j iào y ǎng
劳动服	l áo d òng f ú
劳动模范	l áo d òng m ó f àn
劳动生产率	l áo d òng sh ēng ch ǎn l ǜ
劳动节	l áo d òng j ié
劳师糜饷	l áo sh ī m í x iǎng
劳师袭远	l áo sh ī x í y uǎn
劳心焦思	l áo x īn j iāo s ī
劳心苦思	l áo x īn k ǔ s ī
劳思逸淫	l áo s ī y ì y ín
劳改犯	l áo g ǎi f àn
劳教	l áo j iào
劳模	l áo m ó
劳燕分飞	l áo y àn f ēn f ēi
劳碌	l áo l ù
劳筋苦骨	l áo j īn k ǔ g ǔ
劳累	l áo l èi
劳身焦思	l áo sh ēn j iāo s ī
劳逸结合	l áo y ì j ié h é
労	l áo
劵	j uàn
劶	k ǒu
劷	y áng
劸	w ā
効	x iào
劺	m óu
劻	k uāng
劼	j ié
劽	l iè
劾	h é
势	sh ì
势不两存	sh ì b ù l iǎng c ún
势不两立	sh ì b ù l iǎng l ì
势不可当	sh ì b ù k ě d āng
势不可挡	sh ì b ù k ě d ǎng
势不可遏	sh ì b ù k ě è
势倾朝野	sh ì q īng ch áo y ě
势合形离	sh ì h é x íng l í
势在必行	sh ì z ài b ì x íng
势头	sh ì t ou
势如劈竹	sh ì r ú p ī zh ú
势孤力薄	sh ì g ū l ì b áo
势焰熏天	sh ì y àn x ūn t iān
势能	sh ì n éng
势若脱兔	sh ì r uò t uō t ù
势要	sh ì y ào
勀	k è
勁	j ìn
勂	g ào
勃	b ó
勃兴	b ó x īng
勃勃	b ó b ó
勃发	b ó f ā
勃然	b ó r án
勃然变色	b ó r án b iàn s è
勃然大怒	b ó r án d à n ù
勃然奋励	b ó r án f èn l ì
勃起	b ó q ǐ
勄	m ǐn
勅	ch ì
勆	l áng
勇	y ǒng
勇冠三军	y ǒng g uàn s ān j ūn
勇夫	y ǒng f ū
勇将	y ǒng j iàng
勇者不惧	y ǒng zh ě b ù j ù
勈	y ǒng
勉	m iǎn
勉为其难	m iǎn w éi q í n án
勉勉强强	m iǎn m iǎn q iǎng q iáng
勉强	m iǎn q iǎng
勊	k è
勋	x ūn
勌	j uàn
勍	q íng
勎	l ù
勏	b ù
勐	m ěng
勑	ch ì
勒	l ēi
勒令	l è l ìng
勒住	l ēi zh ù
勒派	l è p ài
勒索	l è s uǒ
勒紧	l ēi j ǐn
勒逼	l è b ī
勓	k ài
勔	m iǎn
動	d òng
勖	x ù
勗	x ù
勘	k ān
勘探队	k ān t àn d uì
勘查	k ān ch á
勘校	k ān j iào
務	w ù
勚	y ì
勛	x ūn
勜	w ěng
勝	sh èng
勞	l áo
募	m ù
募化	m ù h uà
募股	m ù g ǔ
勠	l ù
勡	p iào
勢	sh ì
勣	j ī
勤	q ín
勤于	q ín y ú
勤务员	q ín w ù y uán
勤学好问	q ín x ué h ǎo w èn
勤工助学	q ín g ōng zh ù x ué
勤朴	q ín p iáo
勤杂人员	q ín z á r én y uán
勤杂工	q ín z á g ōng
勤王	q ín w áng
勤能补拙	q ín n éng b ǔ zh uō
勥	j iàng
勦	ch āo
勧	q uàn
勨	x iàng
勩	y ì
勪	j ué
勫	f ān
勬	j uān
勭	t óng
勮	j ù
勯	d ān
勰	x ié
勱	m ài
勲	x ūn
勳	x ūn
勴	l ǜ
勵	l ì
勶	ch è
勷	r áng
勸	q uàn
勹	b āo
勺	sh áo
勺状软骨	sh áo zh uàng r uǎn g ǔ
勻	y ún
勼	j iū
勽	b ào
勾	g ōu
勾三搭四	g ōu s ān d ā s ì
勾兑	g ōu d uì
勾勒	g ōu l è
勾勾搭搭	g ōu g ōu d ā d ā
勾引	g ōu y ǐn
勾当	g òu d àng
勾心斗角	g ōu x īn d òu j iǎo
勾描	g ōu m iáo
勾搭	g ōu d ā
勾栏	g ōu l án
勾消	g ōu x iāo
勾画	g ōu h uà
勾留	g ōu l iú
勾结	g ōu j ié
勾绘	g ōu h uì
勾股定理	g ōu g ǔ d ìng l ǐ
勾脸	g ōu l iǎn
勾芡	g ōu q iàn
勾起	g ōu q ǐ
勾践	g ōu j iàn
勾连	g ōu l ián
勾通	g ōu t ōng
勾销	g ōu x iāo
勾除	g ōu ch ú
勾魂	g ōu h ún
勾魂摄魄	g ōu h ún sh è p ò
勿	w ù
勿谓言之不预	w ù w èi y án zh ī b ù y ù
勿谓言之不预也	w ù w èi y án zh ī b ù y ù y ě
匀	y ún
匀兑	y ún d uì
匀净	y ún j ìng
匀和	y ún h é
匀浆	y ún j iāng
匀溜	y ún l iū
匀称	y ún ch èn
匀红点翠	y ún h óng d iǎn c uì
匀脂抹粉	y ún zh ī m ǒ f ěn
匁	w én
匂	x iōng
匃	g ài
匄	g ài
包	b āo
包举宇内	b āo j ǔ y ǔ n èi
包乘	b āo ch éng
包乘制	b āo ch éng zh ì
包乘组	b āo ch éng z ǔ
包修	b āo x iū
包囊	b āo n áng
包围圈	b āo w éi q uān
包场	b āo ch ǎng
包头	b āo t óu
包头市	b āo t óu sh ì
包工头	b āo g ōng t óu
包干	b āo g ān
包干儿	b āo g ān ér
包干制	b āo g ān zh ì
包扎	b āo z ā
包打听	b āo d ǎ t īng
包打天下	b āo d ǎ t iān x ià
包括	b āo k uò
包活儿	b āo h uó er
包片儿	b āo p iān er
包票	b āo p iào
包络	b āo l uò
包罗万有	b āo l uó w àn y ǒu
包罗万象	b āo l uó w àn x iàng
包蕴	b āo y ùn
包藏	b āo c áng
包藏奸心	b āo c áng j iān x īn
包藏祸心	b āo c áng h uò x īn
包被	b āo b èi
包装箱	b āo zh uāng x iāng
包车	b āo ch ē
包间	b āo j iān
包馄饨	b āo h ún t ún
匆	c ōng
匇	y ì
匈	x iōng
匉	p ēng
匊	j ū
匋	t áo
匌	g é
匍	p ú
匎	è
匏	p áo
匏瓜空悬	p áo g uā k ōng x uán
匐	f ú
匑	g ōng
匒	d á
匓	j iù
匔	g ōng
匕	b ǐ
匕鬯不惊	b ǐ ch àng b ù j īng
化	h uà
化为乌有	h uà w éi w ū y ǒu
化为泡影	h uà w éi p ào y ǐng
化为灰烬	h uà w éi h uī j ìn
化作	h uà z uò
化冻	h uà d òng
化分	h uà f ēn
化化	h uà h uà
化及豚鱼	h uà j í t ún y ú
化合	h uà h é
化合物	h uà h é w ù
化名	h uà m íng
化境	h uà j ìng
化外	h uà w ài
化外之民	h uà w ài zh ī m ín
化妆	h uà zh uāng
化妆品	h uà zh uāng p ǐn
化学	h uà x ué
化学元素	h uà x ué y uán s ù
化学反应	h uà x ué f ǎn y ìng
化学肥料	h uà x ué f éi l iào
化工	h uà g ōng
化干戈为玉帛	h uà g ān g ē w éi y ù b ó
化性起伪	h uà x ìng q ǐ w ěi
化成	h uà ch éng
化敌为友	h uà d í w éi y ǒu
化整为零	h uà zh ěng w éi l íng
化斋	h uà zh āi
化日光天	h uà r ì g uāng t iān
化枭为鸠	h uà x iāo w éi j iū
化民成俗	h uà m ín ch éng s ú
化民易俗	h uà m ín y ì s ú
化生	h uà sh ēng
化疗	h uà l iáo
化痰	h uà t án
化瘀	h uà y ū
化石	h uà sh í
化粪池	h uà f èn ch í
化纤	h uà x iān
化缘	h uà y uán
化肥	h uà f éi
化脓	h uà n óng
化腐为奇	h uà f ǔ w éi q í
化腐成奇	h uà f ǔ ch éng q í
化腐朽为神奇	h uà f ǔ x iǔ w éi sh én q í
化若偃草	h uà r uò y ǎn c ǎo
化装	h uà zh uāng
化解	h uà j iě
化身	h uà sh ēn
化钱	h uà q ián
化铁炉	h uà t iě l ú
