一	y ī
一定不易	y ī d ìng b ù y ì
一定不移	y ī d ìng b ù y í
一客不烦二主	y ī k è b ù f án èr zh ǔ
一家	y ī j iā
一家一户	y ī j iā y ī h ù
一家一火	y ī j iā y ī h uǒ
一家一计	y ī j iā y ī j ì
一家之主	y ī j iā zh ī zh ǔ
一家之作	y ī j iā zh ī z uò
一家之学	y ī j iā zh ī x ué
一家之言	y ī j iā zh ī y án
一家之计	y ī j iā zh ī j ì
一家之辞	y ī j iā zh ī c í
一家人	y ī j iā r én
一家子	y ī j iā z ǐ
一家无二	y ī j iā w ú èr
一家眷属	y ī j iā j uàn sh ǔ
一家老小	y ī j iā l ǎo x iǎo
一宿	y ī x iǔ
一射之地	y ī sh è zh ī d ì
一小撮	y ī x iǎo c uō
一尘不到	y ī ch én b ù d ào
一尘不染	y ī ch én b ù r ǎn
一尘不缁	y ī ch én b ù z ī
一尺水十丈波	y ī ch ǐ sh uǐ sh í zh àng b ō
一尺水翻腾做一丈波	y ī ch ǐ sh uǐ f ān t éng z uò y ī zh àng b ō
一尺水翻腾做百丈波	y ī ch ǐ sh uǐ f ān t éng z uò b ǎi zh àng b ō
一山不藏二虎	y ī sh ān b ù c áng èr h ǔ
一岁载赦	y ī s uì z ài sh è
一差两讹	y ī ch à l iǎng é
一差二悮	y ī ch à èr w ù
一差二误	y ī ch à èr w ù
一差二错	y ī ch à èr c uò
一差半错	y ī ch à b àn c uò
一己之见	y ī j ǐ zh ī j iàn
一帆顺风	y ī f ān sh ùn f ēng
一帆风顺	y ī f ān f ēng sh ùn
一席之地	y ī x í zh ī d ì
一席谈	y ī x í t án
一幕	y í m ù
一干	y ī g ān
一干二净	y ī g ān èr j ìng
一干人犯	y ī g ān r én f àn
一年一度	y ī n ián y ī d ù
一年到头	y ì n ián d ào t óu
一年半载	y ī n ián b àn z ǎi
一年级	y ì n ián j í
一并	y ī b ìng
一床两好	y ī ch uáng l iǎng h ǎo
一床锦被遮盖	y ī ch uáng j ǐn b èi zh ē g ài
一应	y ī y īng
一应俱全	y ī y īng j ù q uán
一度	y í d ù
一弹指顷	y ī t án zh ǐ q ǐng
一彻万融	y ī ch è w àn r óng
一得	y ī d e
一得之功	y ī d é zh ī g ōng
一得之愚	y ī d é zh ī y ú
一得之见	y ī d é zh ī j iàn
一心一意	y ì x īn y í y ì
一心同体	y ī x īn t óng t ǐ
一心同功	y ī x īn t óng g ōng
一心同归	y ī x īn t óng g uī
一心向往	y ì x īn x iàng w ǎng
一念之差	y ī n iàn zh ī ch ā
一念之间	y í n iàn zh ī j iān
一怒之下	y í n ù zh ī x ià
一怔	y í zh èng
一息奄奄	y ī x ī y ǎn y ǎn
一意孤行	y ī y ì g ū x íng
一成	y ì ch éng
一成不变	y ī ch éng b ù b iàn
一成不易	y ī ch éng b ù y ì
一扎	y ī z ā
一打	y ī d ǎ
一扫而光	y ī s ǎo ér g uāng
一扫而空	y ī s ǎo ér k ōng
一技之长	y ī j ì zh ī ch áng
一把子	y ī b à z i
一把手	y ī b ǎ sh ǒu
一把抓	y ī b ǎ zh uā
一把死拿	y ī b ǎ s ǐ n á
一把钥匙开一把锁	y ī b ǎ y ào sh i k āi y ī b ǎ s uǒ
一抔黄沙	y ì p óu h uáng sh ā
一报还一报	y ī b ào h uán y ī b ào
一抹黑	y ī m ǒ h ēi
一拍即合	y ī p āi j í h é
一拥而上	y ī y ōng ér sh àng
一掊土	y ī p óu t ǔ
一掷百万	y ī zh ì b ǎi w àn
一撮	y ī z uǒ
一支半节	y ī zh ī b àn j ié
一改	y ī g ǎi
一整套	y ī zh ěng t ào
一文不值	y ī w én b ù zh í
一文不名	y ī w én b ù m íng
一文钱难倒英雄汉	y ī w én q ián n án d ǎo y īng x ióng h àn
一方之任	y ī f āng zh ī r èn
一方面	y ì f āng m iàn
一无可取	y ī w ú k ě q ǔ
一无所得	y ī w ú s uǒ d é
一无所有	y ī w ú s uǒ y ǒu
一无所知	y ī w ú s uǒ zh ī
一无所能	y ī w ú s uǒ n éng
一无所见	y ī w ú s uǒ j iàn
一无所长	y ī w ú s uǒ ch áng
一无是处	y ī w ú sh ì ch ù
一无长物	y ī w ú ch áng w ù
一日万几	y ī r ì w àn j ǐ
一日万机	y ī r ì w àn j ī
一日万里	y ī r ì w àn l ǐ
一日三省	y ī r ì s ān x ǐng
一日三秋	y í r ì s ān q iū
一日之长	y ī r ì zh ī ch áng
一旦	y í d àn
一时一刻	y ī sh í y ī k è
一时伯仲	y ī sh í b ó zh òng
一时千载	y ī sh í q iān z ǎi
一时半会儿	y ī sh í b àn h uì er
一时得逞	y ì sh í d é ch ěng
一时疏忽	y ì sh í sh ū h ū
一时间	y ī sh í j iān
一星儿	y ī x īng er
一星半点儿	y ī x īng b àn d iǎn er
一显身手	y ī x iǎn sh ēn sh ǒu
一晃	y ī h uǎng
一暝不视	y ī m íng b ù sh ì
一暴十寒	y ī p ù sh í h án
一曝十寒	y ī p ù sh í h án
一曲阳关	y ī q ǔ y áng g uān
一月	y í y uè
一服	y ī f ù
一服药	y ī f ù y ào
一望无垠	y í w àng w ú y ín
一望无涯	y í w àng w ú y á
一望无际	y í w àng w ú j ì
一望而知	y ī w àng ér zh ī
一朝	y ī zh āo
一朝一夕	y ī zh āo y ī x ī
一朝之忿	y ī zh āo zh ī f èn
一朝之患	y ī zh āo zh ī h uàn
一朝千里	y ī zh āo q iān l ǐ
一朝天子一朝臣	y ī ch áo t iān z ǐ y ī ch áo ch én
一期	y ī q ī
一木难支	y ī m ù n án zh ī
一本万利	y ī b ěn w àn l ì
一本正经	y ī b ěn zh èng j īng
一条	y ī t iáo
一条心	y ī t iáo x īn
一条龙	y ī t iáo l óng
一枕南柯	y ī zh ěn n án k ē
一枝一栖	y ī zh ī y ī q ī
一枝一节	y ī zh ī y ī j ié
一枝之栖	y ī zh ī zh ī q ī
一枝香	y ī zh ī x iāng
一栖两雄	y ī q ī l iǎng x ióng
一梦华胥	y ī m èng h uá x ū
一棍子打死	y ī g ùn z i d ǎ s ǐ
一棒一条痕	y ī b àng y ī t iáo h én
一概而论	y ī g ài ér l ùn
一榻横陈	y ī t à h éng ch én
一模一样	y ī m ú y ī y àng
一模二样	y ī m ó èr y àng
一次性	y í c ì x ìng
一步一个脚印	y ī b ù y ī g è j iǎo y ìn
一步一步	y í b ù y í b ù
一步一趋	y ī b ù y ī q ū
一步步	y í b ù b ù
一步步地	y í b ù b ù d e
一死了之	y ī s ǐ l iǎo zh ī
一毛不拔	y ī m áo b ù b á
一毫不差	y ī h áo b ù ch ā
一毫不染	y ī h áo b ù r ǎn
一毫不苟	y ī h áo b ù g ǒu
一民同俗	y ī m ín t óng s ú
一气之下	y í q ì zh ī x ià
一气呵成	y ī q ì h ē ch éng
一氧化碳	y ī y ǎng h uà t àn
一沓纸	y ì d á zh ǐ
一沓钞票	y ì d á ch āo p iào
一波万波	y ī b ō w àn b ō
一波三折	y ī b ō s ān zh é
一波才动万波随	y ī b ō c ái d òng w àn b ō s uí
一泻万里	y ī x iè w àn l ǐ
一泻千里	y í x iè q iān l ǐ
一派胡言	y í p ài h ú y án
一派胡言乱语	y í p ài h ú y án l uàn y ǔ
一流	y ì l iú
一浆十饼	y ī j iāng sh í b ǐng
一清二楚	y ì q īng èr ch ǔ
一清宿弊	y ì q īng s ù b ì
一渊不两蛟	y ī y uān b ù l iǎng j iāo
一溜儿	y ī l iù ér
一溜歪斜	y ī l iù w āi x ié
一溜烟	y ī l iù y ān
一溜烟跑掉	y í l iù y ān p ǎo d iào
一溜风	y ī l iù f ēng
一点	y ì d iǎn
一点钟	y ì d iǎn zh ōng
一熏一莸	y ī x ūn y ī y óu
一片	y ī p iàn
一片丹心	y ī p iàn d ān x īn
一片冰心	y ī p iàn b īng x īn
一片宫商	y ī p iàn g ōng sh āng
一片散沙	y ī p iàn s ǎn sh ā
一片昏黑	y í p iàn h ūn h ēi
一片汪洋	y ī p iàn w āng y áng
一片混乱	y í p iàn h ùn l uàn
一片焦土	y ī p iàn j iāo t ǔ
一片空白	y í p iàn k òng b ái
一牛吼地	y ī n iú h ǒu d ì
一牛鸣地	y ī n iú m íng d ì
一物不知	y ī w ù b ù zh ī
一物降一物	y ī w ù x iáng y ī w ù
一狐之掖	y ī h ú zh ī y è
一现昙华	y ī x iàn t án h uā
一生一世	y ì sh ēng y í sh ì
一男半女	y ī n án b àn n ǚ
一番	y ī f ān
一病不起	y ī b ìng b ù q ǐ
一百	y ì b ǎi
一百二十行	y ī b ǎi èr sh í h áng
一百亿	y ì b ǎi y ì
一百八十度	y ī b ǎi b ā sh í d ù
一盘散沙	y ī p án s ǎn sh ā
一目了然	y ī m ù l iǎo r án
一目五行	y ī m ù w ǔ h áng
一目十行	y ī m ù sh í h áng
一目数行	y ī m ù sh ù h áng
一直	y ì zh í
一直走	y ì zh í z ǒu
一相情原	y ī x iāng q íng y uán
一相情愿	y ī x iāng q íng y uàn
一瞑不视	y ī m íng b ù sh ì
一知半见	y ī zh ī b àn j iàn
一知半解	y ī zh ī b àn j iě
一知片解	y ī zh ī p iàn j iě
一石二鸟	y ī sh í èr n iǎo
一码事	y ī m ǎ sh ì
一砖一瓦	y ī zh uān y ī w ǎ
一碧万顷	y ī b ì w àn q ǐng
